XBTEUR Curncy;
Date;PX_LAST
10/09/2013;97
11/09/13;96,75
12/09/13;96,75
13/09/13;96
16/09/13;90
17/09/13;94,5
18/09/13;94,5
19/09/13;93,2
20/09/13;93,2
23/09/13;92,5
24/09/13;90,25
25/09/13;90,25
27/09/13;90,25
30/09/13;94,5
1/10/13;96
2/10/13;92
3/10/13;85
4/10/13;90
7/10/13;94,5594
8/10/13;95
9/10/13;91,6
10/10/13;95
11/10/13;91,5
14/10/13;84
15/10/13;100,0104
16/10/13;104,9897
17/10/13;105
18/10/13;111
21/10/13;130
22/10/13;137
23/10/13;148,9
24/10/13;140,4462
25/10/13;135,1568
28/10/13;140,54
29/10/13;148,5036
30/10/13;149,7134
31/10/13;150
1/11/13;153
4/11/13;170
5/11/13;184,9822
6/11/13;200
7/11/13;230,2468
8/11/13;273,5
11/11/13;253,5
12/11/13;265
13/11/13;299,1
14/11/13;309,999
15/11/13;314
18/11/13;498,0001
19/11/13;450,0001
20/11/13;468,9
21/11/13;530,0001
22/11/13;594,9001
25/11/13;608
26/11/13;679,989
27/11/13;746,0001
28/11/13;814,0001
29/11/13;850,5001
2/12/13;767,0002
3/12/13;787,9001
4/12/13;828,5001
5/12/13;778
6/12/13;632
9/12/13;667,7067
10/12/13;706,0001
11/12/13;652,6268
12/12/13;639,5549
13/12/13;641,7078
16/12/13;519,0001
17/12/13;503,4123
18/12/13;386,6755
19/12/13;505,0001
20/12/13;476,0101
23/12/13;480,0001
24/12/13;485,7987
25/12/13;497,4012
26/12/13;549,0001
27/12/13;532,7919
30/12/13;540,0101
31/12/13;539,0001
1/01/14;547,9001
2/01/14;565,0001
3/01/14;595,0001
6/01/14;673,5681
7/01/14;592,0001
8/01/14;613,4724
9/01/14;614,2246
10/01/14;625,7387
13/01/14;611,8001
14/01/14;609,216
15/01/14;624,7001
16/01/14;610,0001
17/01/14;585,3683
20/01/14;613,9801
21/01/14;611,0927
22/01/14;605,7261
23/01/14;603,0001
24/01/14;580,0001
27/01/14;548,1505
28/01/14;584,0001
29/01/14;581,0101
30/01/14;592,0001
31/01/14;595,8901
3/02/14;598,4001
4/02/14;595,6501
5/02/14;590,0001
6/02/14;568,9891
7/02/14;525,0001
10/02/14;504,9901
11/02/14;498,4855
12/02/14;492,1716
13/02/14;452,3001
14/02/14;497,0001
17/02/14;465,02
18/02/14;463,0001
19/02/14;459,3137
20/02/14;407
21/02/14;421,0001
24/02/14;405,0108
25/02/14;390
26/02/14;432,7162
27/02/14;428,9445
28/02/14;409,6279
3/03/14;482,494
4/03/14;489,3709
5/03/14;487,7993
6/03/14;479,4634
7/03/14;461,9
10/03/14;454,8721
11/03/14;457,4262
12/03/14;460,2127
13/03/14;463,1826
14/03/14;457,6822
17/03/14;448,9392
18/03/14;446,021
19/03/14;441,226
20/03/14;425,9721
21/03/14;416,5358
24/03/14;422,8233
25/03/14;423,1401
26/03/14;425,3
27/03/14;367,5082
28/03/14;379,84
31/03/14;334,1305
1/04/14;357,12
2/04/14;325,999
3/04/14;327,25
4/04/14;331,6193
7/04/14;331,6692
8/04/14;333,112
9/04/14;315,1405
10/04/14;273
11/04/14;308,04
14/04/14;333,7171
15/04/14;370
16/04/14;378
17/04/14;360,6412
18/04/14;347,66
21/04/14;363
22/04/14;354,955
23/04/14;357,0286
24/04/14;344,9996
25/04/14;332,7377
28/04/14;315,1728
29/04/14;324
30/04/14;323,6567
1/05/14;333,2587
2/05/14;325,5763
5/05/14;313,0549
6/05/14;309,8468
7/05/14;324,259
8/05/14;319,7839
9/05/14;326,6693
12/05/14;320,7598
13/05/14;319,97
14/05/14;323,6937
15/05/14;328,4349
16/05/14;328,0015
19/05/14;325,6195
20/05/14;356,2499
21/05/14;359,7379
22/05/14;380,0125
23/05/14;388,6729
26/05/14;427,2155
27/05/14;420,9414
28/05/14;420,6998
29/05/14;416,799
30/05/14;445,7886
2/06/14;463,8821
3/06/14;490,6472
4/06/14;476,6133
5/06/14;483,689
6/06/14;480,3707
9/06/14;477,08
10/06/14;480,0189
11/06/14;471,9918
12/06/14;456,5242
13/06/14;429,4449
16/06/14;438,7798
17/06/14;440,5228
18/06/14;447,0107
19/06/14;443,61
20/06/14;437,3809
23/06/14;431,75
24/06/14;432,0984
25/06/14;414,4181
26/06/14;419,4449
27/06/14;423,8459
30/06/14;455,25
1/07/14;474,9998
2/07/14;474,543
3/07/14;470,1149
4/07/14;465,4642
7/07/14;456,2542
8/07/14;457,5061
9/07/14;458,9999
10/07/14;453,5649
11/07/14;464,1227
14/07/14;456,2968
15/07/14;458,3894
16/07/14;457,5548
17/07/14;462,975
18/07/14;462,2543
21/07/14;458,0457
22/07/14;460,5679
23/07/14;460,2129
24/07/14;446,5507
25/07/14;448,9091
28/07/14;434,5908
29/07/14;436,2303
30/07/14;431,2169
31/07/14;438,0875
1/08/14;446,5186
4/08/14;439,9957
5/08/14;435,7178
6/08/14;438,292
7/08/14;438,0687
8/08/14;441,1165
11/08/14;438,2013
12/08/14;428,0289
13/08/14;411,0349
14/08/14;394,8777
15/08/14;378,1583
18/08/14;354,8083
19/08/14;365
20/08/14;383,2141
21/08/14;395,8245
22/08/14;394,1874
